apartment_sale_PSF_PPU_mean,apartment_sale_PricePerLandSqFt_mean,apartment_sale_PSF_PPU_median,apartment_sale_PricePerLandSqFt_median,office_sale_PSF_PPU_mean,office_sale_PricePerLandSqFt_mean,office_sale_PSF_PPU_median,office_sale_PricePerLandSqFt_median,apartment_refinance_PSF_PPU_mean,apartment_refinance_PricePerLandSqFt_mean,apartment_refinance_PSF_PPU_median,apartment_refinance_PricePerLandSqFt_median,office_ref_PSF_PPU_mean,office_ref_PricePerLandSqFt_mean,office_ref_PSF_PPU_median,office_ref_PricePerLandSqFt_median,fips
270791.65,262.5582,270791.65,262.5582,,,,,260311.1,328.508725,262288.85,307.2526,,,,,6001427900
229222.2,389.3643,206060.6,405.5585,,,,,256205.35,642.3099,256205.35,642.3099,,,,,6001428000
216322.65,271.30465,216322.65,271.30465,,,,,,,,,,,,,6001428400
289951.2,273.4634,289951.2,273.4634,,,,,203318.725,179.255875,215263.15,190.47545,,,,,6001428500
429333.3,482.6187,429333.3,482.6187,,,,,353750,145.88085,353750,145.88085,,,,,6001428600
244940.84,203.9487,235443,186.8595,,,,,,,,,,,,,6001430500
276654.1,134.40875,276654.1,134.40875,264.0274,77.5154,264.0274,77.5154,204761.9333,94.5996,200000,84.2453,,,,,6001430800
243646.35,168.98104,252083.3,133.9199,288.1981,121.7565,288.1981,121.7565,282708.55,136.76775,284226.65,144.97305,,,,,6001430900
351666.6667,139.9538333,275000,136.646,,,,,,,,,,,,,6001431100
255417.5667,146.5604667,282432.4,153.6765,,,,,170985.65,120.7312,170985.65,120.7312,,,,,6001431200
197901.3,136.87745,197901.3,136.87745,,,,,171052.6,219.1799,171052.6,219.1799,,,,,6001432200
216731.6875,261.085475,211071.45,286.50915,297.1788,243.8774,263.7736,240.0557,237096.98,375.47936,220689.7,388.4615,392.5926,255.1856,392.5926,255.1856,6001432600
150915.175,225.963675,152500,230.84045,,,,,209811.12,205.87972,192500,201.5064,,,,,6001433103
229732.6667,218.9792,248630.1,221.4973,104.8774,44.23216667,102.695,48.2535,224747.6167,185.9005167,240853.65,195.88145,,,,,6001433104
210539.5,86.31085,210539.5,86.31085,,,,,,,,,,,,,6001433700
237500,118.9582,237500,118.9582,,,,,193315.3667,177.2975333,162758.6,180.9211,,,,,6001433800
208307.125,143.656625,194202.5,143.89415,,,,,159723.2286,128.8919,158536.6,111.6071,,,,,6001433900
243845.8167,159.0297167,207647.85,147.00445,,,,,212081.3217,223.2763083,212837.85,98.94595,,,,,6001435104
249583.3,218.7249,249583.3,218.7249,,,,,159458.4667,55.47426667,166666.7,52.2551,,,,,6001435300
186500,335.8001,186500,335.8001,126.3339,70.9365,116.2978,58.7752,213333.3,296.8157,213333.3,296.8157,139.1788,69.1473,139.1788,69.1473,6001435400
149385.2,119.20545,149385.2,119.20545,,,,,187284,121.7676,187284,121.7676,,,,,6001435500
147368.4,212.6582,147368.4,212.6582,,,,,210517.9667,151.5524667,192982.5,113.0451,,,,,6001435601
172750,127.9629,172750,127.9629,,,,,,,,,,,,,6001435602
214516.1333,88.31786667,217069.9,80.8389,,,,,164000,90.255,164000,90.255,,,,,6001436200
187012.4,118.78865,187012.4,118.78865,,,,,209090.9,210.7771,209090.9,210.7771,,,,,6001436300
177414.48,385.21616,185357.1,136.2162,,,,,224199.25,722.866,224199.25,722.866,,,,,6001436401
168852.25,70.00205,168852.25,70.00205,,,,,205500.5,123.36526,200000,144.2623,,,,,6001436601
231310.75,167.14298,219375,174.12075,,,,,196681.9478,142.1413333,214285.6,140.5152,,,,,6001436602
235496.7,175.3743,209823.5,163.7741,,,,,138888.9,97.6613,138888.9,97.6613,,,,,6001436800
198946.35,124.1587,198946.35,124.1587,,,,,122061.05,28.3028,122061.05,28.3028,,,,,6001436900
290441.2,158.7388,290441.2,158.7388,,,,,,,,,,,,,6001437200
