,population_density,average_household_income,employ_rate,gini_index,poverty_family_below_poverty_level_rate,housing_unit_median_value,housing_unit_median_gross_rent,age_median,voting_2016_dem_percentage,voting_2016_gop_percentage,number_of_years_of_education,diversity,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,dropout_16_19_inschool_rate,health_insurance_none_rate,education_less_than_high_school_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,average_household_size,household_type_family_rate,fips
775,5508.27,130374.39532899999,0.9613596746080001,0.5038,0.0456273764259,1158600.0,1666.0,39.5,0.763759178293,0.186891084839,15.388711656400002,0.508245319143,0.11773362766699999,0.387417218543,0.720797720798,0.9430894308939999,0.0370304432971,0.013987730061299998,0.6736692184440001,0.0042727434573599996,0.009435641801670001,0.160761972583,0.0,0.09079579846889999,0.061064625244800004,2.34,0.548373644704,6081605400
776,13026.61,71805.30410180001,0.891022314478,0.5191,0.0698602794411,646100.0,1170.0,42.3,0.7931424750689999,0.148711258246,16.046220302400002,0.594627070369,0.05984042553190001,0.261303191489,0.653944020356,1.0,0.10651465798000001,0.0505399568035,0.5984350547730001,0.15086071987500002,0.0100156494523,0.12237871674499999,0.0,0.0244131455399,0.093896713615,2.14,0.354314002829,6001423500
777,3605.0029999999997,112923.038229,0.9497307001799999,0.3516,0.03,603800.0,2000.0,35.1,0.733480189578,0.20852979907400002,13.7631771596,0.633042318712,0.0187561697927,0.639684106614,0.822530864198,0.9504373177840001,0.104181951577,0.149707174231,0.41747115611,0.0550977160348,0.00376736519896,0.43136331528099997,0.012479397221600002,0.0501530492112,0.0296680009418,3.77,0.8048289738429999,6085505007
778,5216.372,66532.6853852,0.901044867855,0.3444,0.128834355828,283200.0,1469.0,34.2,0.622546726726,0.317780184152,14.091624247999999,0.598085228676,0.0433884297521,0.49449035812700004,0.6197771587740001,1.0,0.11383147853700001,0.07496529384539999,0.592581238504,0.12415695892100001,0.0153280196199,0.179337829552,0.0248313917842,0.0196198651134,0.0441446965052,2.32,0.586753059755,6095252312
779,26225.48,51209.1846298,0.894492753623,0.4227,0.367454068241,271700.0,995.0,32.4,0.7931424750689999,0.148711258246,11.5815632965,0.7338066421870001,0.04986642920749999,0.25111308993799997,0.687943262411,1.0,0.192010652463,0.39209855564999996,0.39920106524599996,0.147003994674,0.00452729693742,0.211185086551,0.0,0.197336884154,0.0407456724368,3.52,0.714151827554,6001407101
780,15931.12,58764.8461538,0.874251497006,0.4672,0.232258064516,307000.0,1046.0,35.7,0.7931424750689999,0.148711258246,12.539875045899999,0.7287011645020001,0.08515130190010001,0.47431386347599996,0.7418397626109999,0.86231884058,0.184152061219,0.289231900037,0.421402214022,0.240836408364,0.007380073800739999,0.141697416974,0.054120541205400004,0.109717097171,0.024846248462499998,3.12,0.715384615385,6001407102
781,4757.248,108581.32618199999,0.928254735994,0.4439,0.06605351170570001,811000.0,1550.0,40.8,0.689128114392,0.254389718539,15.6326884205,0.359849589588,0.0719457013575,0.423529411765,0.798076923077,0.9887218045110001,0.12839974699599999,0.0158821830783,0.784735399536,0.0105418511491,0.0,0.151380982501,0.0027408812987600004,0.021716213367099998,0.0288846721484,2.31,0.5831301804,6013343001
782,15922.4,69675.3991292,0.8407391113070001,0.3811,0.131501472031,245400.0,1429.0,36.0,0.7931424750689999,0.148711258246,12.477027027,0.7104273077069999,0.0185185185185,0.6431623931620001,0.77519379845,0.90625,0.148421295229,0.272297297297,0.294659300184,0.401473296501,0.0,0.08701657458560001,0.0025322283609600003,0.18139963167599998,0.032918968692400005,3.14,0.739477503628,6001410400
783,1777.4489999999994,167617.785467,0.9308734236339999,0.4101,0.0,871300.0,1523.0,46.9,0.689128114392,0.254389718539,16.019003227,0.25911226703,0.0543193717277,0.747382198953,0.803852889667,0.935828877005,0.0474770072086,0.00609537468627,0.854088988317,0.0032314193388000003,0.0,0.0981854337559,0.00198856574696,0.0004971414367390001,0.0420084514044,2.78,0.8352941176469999,6013343003
784,3724.248,145923.454267,0.915247195679,0.4757,0.011005135729999999,768000.0,1733.0,43.5,0.689128114392,0.254389718539,15.9746324589,0.283603411482,0.0654250238777,0.589780324737,0.71983805668,1.0,0.015572390572399999,0.0207552608821,0.840195678761,0.005707297187119999,0.0014268242967799998,0.08785161027310001,0.0,0.014879739095,0.049938850387300004,2.41,0.696474195197,6013343002
